codigo_subclasse,descricao,codigo_classe,codigo_grupo,codigo_divisao,secao,versao_cnae
0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",07.29-4,07.2,07,B,2.3
0810-0/01,Extração de ardósia e beneficiamento associado,08.10-0,08.1,08,B,2.3
0810-0/02,Extração de granito e beneficiamento associado,08.10-0,08.1,08,B,2.3
0810-0/03,Extração de mármore e beneficiamento associado,08.10-0,08.1,08,B,2.3
0810-0/04,Extração de calcário e dolomita e beneficiamento associado,08.10-0,08.1,08,B,2.3
0810-0/05,Extração de gesso e caulim,08.10-0,08.1,08,B,2.3
0810-0/06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",08.10-0,08.1,08,B,2.3
0810-0/07,Extração de argila e beneficiamento associado,08.10-0,08.1,08,B,2.3
0810-0/08,Extração de saibro e beneficiamento associado,08.10-0,08.1,08,B,2.3
0810-0/09,Extração de basalto e beneficiamento associado,08.10-0,08.1,08,B,2.3
0810-0/10,Beneficiamento de gesso e caulim associado à extração,08.10-0,08.1,08,B,2.3
0810-0/99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,08.10-0,08.1,08,B,2.3
0891-6/00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",08.91-6,08.9,08,B,2.3
0892-4/01,Extração de sal marinho,08.92-4,08.9,08,B,2.3
0892-4/02,Extração de sal-gema,08.92-4,08.9,08,B,2.3
0892-4/03,Refino e outros tratamentos do sal,08.92-4,08.9,08,B,2.3
0893-2/00,Extração de gemas (pedras preciosas e semipreciosas),08.93-2,08.9,08,B,2.3
0899-1/01,Extração de grafita,08.99-1,08.9,08,B,2.3
0899-1/02,Extração de quartzo,08.99-1,08.9,08,B,2.3
0899-1/03,Extração de amianto,08.99-1,08.9,08,B,2.3
0899-1/99,Extração de outros minerais não metálicos não especificados anteriormente,08.99-1,08.9,08,B,2.3
0910-6/00,Atividades de apoio à extração de petróleo e gás natural,09.10-6,09.1,09,B,2.3
0990-4/01,Atividades de apoio à extração de minério de ferro,09.90-4,09.9,09,B,2.3
0990-4/02,Atividades de apoio à extração de minerais metálicos não ferrosos,09.90-4,09.9,09,B,2.3
0990-4/03,Atividades de apoio à extração de minerais não metálicos,09.90-4,09.9,09,B,2.3
1011-2/01,Frigorífico - abate de bovinos,10.11-2,10.1,10,C,2.3
